Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Requirements Engineering (Grundlagen)|Was ist die primäre Definition und Kernfunktion des Requirements Engineering (RE) im IT-Kontext?|Strategischer Konsens und Risikominimierung|Methodik der Spezifikation|<b>Requirements Engineering (RE)</b> ist ein systematischer und disziplinierter Ansatz zur <b>Spezifikation und zum Management</b> von Anforderungen.<br>- Schafft Konsens unter Stakeholdern.<br>- Gewährleistet standardkonforme Dokumentation.<br>- Minimiert das Risiko von Fehlentwicklungen.|Ohne RE entstehen die höchsten Kosten im Software-Lifecycle oft durch Missverständnisse (Missing Requirements, Gold Plating). Je später ein Anforderungsfehler im SDLC (Software Development Life Cycle) entdeckt wird, desto exponentiell höher sind die Behebungskosten.|Ein neues ERP-System wird entwickelt. Das RE stellt sicher, dass sowohl Buchhaltung (Stakeholder A) als auch Logistik (Stakeholder B) ihre Pflichtanforderungen nachvollziehbar im Lastenheft verankert haben.|RE = Richtiges Erfassen (Systematik, Konsens, Risiko)|Systematischer Ansatz zur Spezifikation und zum Management von Anforderungen zur Risikominimierung und Konsensbildung.|Spontane, unstrukturierte Sammlung von Nutzerideen ohne formale Standards.|Ausschließliche Programmierung von Software ohne vorherige Planung.|Das nachträgliche Testen von fertiger Software auf Fehler zur Risikominimierung.|RE Requirements_Engineering Spezifikation Stakeholder Risikominimierung Definition
Bachelor Professional IT|Requirements Engineering (Praxistransfer)|Ein IT-Projektleiter bemerkt, dass Vertrieb und IT-Entwicklung völlig unterschiedliche Erwartungen an ein neues CRM-System haben. Wie löst das Requirements Engineering (RE) dieses Problem strukturell?|Konfliktlösung & Konsensbildung|Dokumentation nach Standards (z.B. IEEE)|Durch den <b>systematischen Ansatz</b> des RE wird gezielt ein <b>Konsens unter den Stakeholdern</b> hergestellt.<br>- Anforderungen werden standardisiert dokumentiert.<br>- Erwartungen werden formalisiert abgeglichen.<br>- Das Risiko einer teuren Fehlentwicklung (System erfüllt nicht die Business-Needs) wird massiv minimiert.|Oft sprechen Business und IT nicht dieselbe Sprache (Business-IT-Alignment-Problem). RE übersetzt Geschäftsprozesse in IT-Anforderungen (z.B. mittels UML/SysML) und lässt diese durch Sign-Offs autorisieren. Dies verhindert Scope Creep und sichert vertragliche Grundlagen (Werkvertrag).|Der Vertrieb will ein "schnelles System", die IT baut blind einen teuren In-Memory-Cache. Das RE greift ein, stellt Konsens her und dokumentiert messbar: "Seitenaufbau < 200ms bei 10.000 Datensätzen" und lässt beide Seiten abzeichnen.|RE klärt erst, was der Kunde braucht, bevor die IT baut.|RE erzwingt die Herstellung eines Konsenses durch standardisierte Dokumentation und senkt so das Risiko von Fehlentwicklungen.|RE ignoriert die Fachabteilung und setzt ausschließlich die technischen Wünsche der Entwickler um.|RE delegiert das Problem ungelöst an die Geschäftsführung, um Zeit zu sparen.|RE startet sofort mit der Programmierung, um durch unstrukturierte Prototypen Konflikte zu überspielen.|RE Transfer CRM Stakeholder_Konsens Risikomanagement Fehlentwicklung Projektmanagement
Bachelor Professional IT|Requirements Management (Definition & Funktion)|Was versteht man unter "Requirements Management" (RM) und was sind seine zentralen Funktionen?|Lebenszyklus & Steuerung|Regelwerk für Artefakte & Traceability|<b>Requirements Management (RM)</b> ist die Verwaltung des <b>Lebenszyklus</b> von Anforderungen inklusive Steuerung und Kontrolle.<br>- Stellt Regeln zur Ablage, Durchsuchbarkeit und Bewertung bereit.<br>- Sichert die <b>Rückverfolgbarkeit (Traceability)</b> von Artefakten.|Während das Requirements Engineering (RE) die Inhalte erarbeitet, stellt das RM die Administration sicher. Es verwaltet Versionierungen, Statusänderungen (z.B. "vorgeschlagen", "akzeptiert", "implementiert") und Abhängigkeiten zwischen Anforderungen. Ohne RM versinkt ein Projekt bei hunderten Anforderungen im Chaos.|In Jira oder Enterprise Architect wird für jede Anforderung ein Ticket erstellt. Das RM definiert den Workflow: Ein Ticket darf erst in "Done" wechseln, wenn es geprüft und dokumentiert ist.|RM = Regeln & Managen des Lifecycles|Verwaltung des Anforderungs-Lebenszyklus inkl. Steuerung, Kontrolle und Sicherstellung der Traceability (Rückverfolgbarkeit).|Die einmalige Löschung von veralteten Dokumenten nach Projektabschluss.|Das rein technische Schreiben des Quellcodes für gesammelte Kundenwünsche.|Nur die kreative, unstrukturierte Findung von Kundenwünschen ohne Ablagepflicht.|RM Requirements_Management Lebenszyklus Traceability Artefakte Steuerung
Bachelor Professional IT|Requirements Management (Kontext nach IREB)|Wie ist das Requirements Management (RM) laut IREB strukturell in den Prozess eingeordnet?|Integraler Bestandteil|Begleitprozess (Flankierend)|Nach <b>IREB</b> (International Requirements Engineering Board) ist das RM ein <b>integraler Bestandteil</b> des RE.<br>- Es wirkt <b>flankierend</b> (begleitend) zu allen operativen Aktivitäten (wie Ermittlung, Analyse, Spezifikation).|RM ist keine Phase, die davor oder danach stattfindet, sondern eine kontinuierliche Querschnittsfunktion. Sobald die erste Anforderung erhoben wird, greift das RM, um diese zu erfassen. Wenn Anforderungen in der Spezifikationsphase geändert werden, dokumentiert das RM die Änderungshistorie (Change Management).|Während der Business Analyst den Kunden interviewt (Ermittlung), legt er die Notizen direkt nach den RM-Vorgaben in der zentralen Datenbank ab, sodass der Architekt später darauf zugreifen kann.|RM ist der Schatten des RE (Flankierend & Begleitend)|RM ist ein integraler, flankierender Bestandteil des RE, der alle operativen Aktivitäten begleitend unterstützt.|RM und RE sind völlig getrennte Disziplinen ohne fachliche Schnittmengen.|RM findet ausschließlich in der Wartungsphase nach Abschluss des gesamten RE statt.|RM ersetzt das RE vollständig, sobald ein Projekt agil durchgeführt wird.|RM IREB Kontext Flankierend Integraler_Bestandteil Begleitprozess
Bachelor Professional IT|Requirements Development (Definition)|Was umfasst der Begriff "Requirements Development" und was ist seine primäre Funktion?|Inhaltliche Ausarbeitung|Die 3 definierenden Phasen (EAS)|<b>Requirements Development</b> ist die Zusammenfassung aller <b>primär definierenden Tätigkeiten</b>:<br>- <b>Ermittlung</b> (Elicitation)<br>- <b>Analyse</b> (Analysis)<br>- <b>Spezifikation</b> (Specification)<br>Die primäre Funktion ist die <b>inhaltliche Ausarbeitung</b> der Anforderungen.|Während das Requirements Management (RM) den organisatorischen Rahmen und Lebenszyklus (das "Wie wird verwaltet?") vorgibt, kümmert sich das Requirements Development um den tatsächlichen Inhalt (das "Was wird gebaut?"). Es formt rohe Stakeholder-Bedürfnisse zu validen, umsetzbaren Systemanforderungen (z.B. nach IEEE 830).|Ein Business Analyst führt Workshops mit der Buchhaltung durch (Ermittlung), prüft diese Wünsche auf technische Machbarkeit (Analyse) und schreibt sie als Use Cases in das Lastenheft (Spezifikation).|EAS-Prinzip: Ermitteln, Analysieren, Spezifizieren (Inhalt schaffen)|Zusammenfassung primär definierender Tätigkeiten (Ermittlung, Analyse, Spezifikation) zur inhaltlichen Ausarbeitung.|Die rein administrative Verwaltung von Ticketsystemen und Versionskontrollen.|Das Schreiben von technischem Quellcode und die Konfiguration der Server-Infrastruktur.|Ausschließliches Budget-Controlling und die Ressourcenplanung des IT-Projekts.|Requirements_Development Definition Ermittlung Analyse Spezifikation Inhalt
Bachelor Professional IT|Requirements Development (Praxistransfer)|Ein Projektleiter fordert das Team auf, mit dem "Requirements Development" für ein neues Webportal zu starten. Welche konkreten operativen Schritte müssen nun zwingend durchgeführt werden?|Inhaltliche Projektstart-Phase|Übersetzung von Business zu IT|Das Team muss die <b>inhaltliche Ausarbeitung</b> starten. Dies umfasst konkret die drei definierenden Tätigkeiten:<br>- 1. <b>Ermittlung</b> (z.B. Stakeholder interviewen).<br>- 2. <b>Analyse</b> (z.B. Anforderungen auf Machbarkeit und Konflikte prüfen).<br>- 3. <b>Spezifikation</b> (z.B. Dokumentation in Modellen oder natürlicher Sprache).|Das Requirements Development ist der Motor der frühen Projektphasen. Wenn dieser Schritt übersprungen oder schlecht ausgeführt wird (z.B. "wir fangen einfach mal an zu bauen"), entstehen erhebliche technische Schulden und architektonische Fehlentscheidungen, da das eigentliche Problemverständnis (Domain Knowledge) fehlt.|Bevor der erste Code-Commit für das Webportal erfolgt, interviewt das Team die Marketingabteilung (Ermittlung), löst einen Widerspruch zwischen Design und Performance-Zielen (Analyse) und schreibt detaillierte User Stories (Spezifikation).|Ermitteln -> Analysieren -> Spezifizieren (Der Weg vom Wunsch zum Papier)|Das Team startet die inhaltliche Ausarbeitung durch Ermittlung (Interviews), Analyse (Machbarkeitsprüfung) und Spezifikation (Dokumentation).|Das Team konfiguriert die CI/CD-Pipeline und beginnt sofort mit dem Programmieren der Datenbank.|Das Team definiert lediglich die Zugriffsrechte für das Jira-Ticketsystem.|Das Team führt ausschließlich Penetrationstests auf dem bestehenden Altsystem durch.|Requirements_Development Transfer Praxis Projektmanagement Operatives_Vorgehen
Bachelor Professional IT|Anforderung (Definition & Funktion)|Wie wird eine "Anforderung" (Requirement) nach Standards wie IEEE 610 definiert und was ist ihre primäre Funktion im IT-Projekt?|Bedingung & Repräsentation|Basis für Vertrag & Abnahme|Eine <b>Anforderung</b> ist eine Bedingung oder Fähigkeit, die zur Problemlösung oder Zielerreichung benötigt wird (nach IEEE 610) bzw. eine Aussage über eine Eigenschaft (SOPHIST).<br>- <b>Funktion:</b> Sie ist die dokumentierte Repräsentation von Stakeholder-Bedürfnissen.<br>- Sie dient als verlässliche <b>Basis für Verträge, Systemarchitektur und die finale Abnahme</b>.|Eine Anforderung ist das juristische und technische Fundament eines jeden IT-Projekts. Wenn eine Eigenschaft nicht als Anforderung dokumentiert wurde, ist sie nicht vertragsbestandteil (Scope). Fehlt sie, kann der Kunde sie bei der Abnahme (UAT - User Acceptance Test) nicht rechtlich einfordern, und der Architekt hat sie beim Systemdesign nicht berücksichtigt.|Ein Kunde bestellt ein Kassensystem. Die Anforderung "Das System muss Barcodes vom Typ EAN-13 scannen können" wird dokumentiert. Bei der Auslieferung dient dieser Satz als Checkliste für die Abnahme (Test bestanden/nicht bestanden).|Anforderung = Das juristisch-technische Fundament (Bedingung & Basis)|Eine Bedingung zur Zielerreichung und die dokumentierte Basis für Vertrag, Architektur und Abnahme.|Ausschließlich eine spontane, mündliche Äußerung eines Kunden ohne Verbindlichkeit.|Ein fertiges Stück Quellcode, das direkt auf dem Server ausgeführt wird.|Eine reine Marketing-Vision ohne jegliche Relevanz für die Systementwicklung.|Anforderung Definition IEEE_610 SOPHIST Vertrag Abnahme Requirement
Bachelor Professional IT|Anforderung (Kontext als Bindeglied)|Die Geschäftsführung gibt das strategische Ziel vor: "Wir müssen die Kundenzufriedenheit im Support-Portal signifikant erhöhen." Warum kann die IT-Entwicklung damit noch nicht arbeiten und welche Rolle spielt die Anforderung hier?|Business-IT-Alignment|Übersetzung Level 1 -> Level 3|Das Level-1-Ziel ist zu abstrakt für eine Umsetzung. <b>Anforderungen fungieren als Bindeglied</b> zwischen den Geschäftszielen und der technischen Realisierung.<br>- Das Ziel muss verfeinert werden.<br>- Es müssen konkrete funktionale Anforderungen (z.B. "Einbau eines Live-Chats") und qualitative NFAs (z.B. "Antwortzeit des Chats < 5 Sekunden") abgeleitet werden.|Dies ist ein klassischer Fall für das Requirements Engineering. Entwickler können keine "Zufriedenheit" codieren. Sie brauchen messbare, testbare und eindeutige Vorgaben (SMART-Kriterien). Wenn die Übersetzung von Level 1 zu Level 3 fehlt, baut die IT vielleicht ein teures KI-System, obwohl der Kunde einfach nur schnellere Ladezeiten wollte.|Der RE-Analyst übersetzt "Zufriedenheit erhöhen" (Level 1) in "Reduzierung der Klickwege zur Problemlösung" (Level 2) und formuliert die Anforderung: "Das Portal muss eine Volltextsuche mit Autocomplete (max. 200ms Latenz) auf der Startseite bieten" (Level 3).|Anforderungen übersetzen Business in Bits und Bytes|Das Ziel ist zu abstrakt; Anforderungen müssen als Bindeglied fungieren, um das Geschäftsziel in konkrete technische und qualitative Leistungen (Level 3) zu übersetzen.|Die IT kann sofort mit dem Programmieren beginnen, da "Zufriedenheit erhöhen" eine ausreichende technische Anweisung ist.|Die IT delegiert das strategische Ziel direkt an den Vertrieb, da Entwickler keine Geschäftsziele bearbeiten dürfen.|Anforderungen sind nur für externe Dienstleister wichtig, interne IT-Teams brauchen nur Level-1-Ziele.|Transfer Bindeglied Business_Ziele Technische_Realisierung NFA Abstraktion
Bachelor Professional IT|Anforderungen (Klassifizierung)|Wie differenzieren sich Funktionale Anforderungen (FA), Nicht-funktionale Anforderungen (NFA) und Randbedingungen prinzipiell voneinander?|Logik vs. Qualität vs. Limitierung|Was vs. Wie vs. Grenzen|<b>Funktionale Anforderungen (FA):</b> Beschreiben das fachliche Verhalten und die Leistungen ("Was das System tut", z.B. Saldo berechnen).<br>- <b>Nicht-funktionale Anforderungen (NFA):</b> Definieren Qualitätsmerkmale und Eigenschaften ("Wie das System ist", z.B. Antwortzeit < 1s).<br>- <b>Randbedingungen:</b> Sind organisatorische, technische oder rechtliche Vorgaben (z.B. DSGVO), die den Lösungsraum einschränken.|Die strikte Trennung ist für die Softwarearchitektur entscheidend. Eine NFA wie "Verfügbarkeit von 99,999%" ändert die komplette Infrastruktur (Load Balancer, redundante Datenbanken), auch wenn die funktionale Anforderung (z.B. "Nutzer kann sich einloggen") völlig simpel ist. Randbedingungen diktieren oft unverhandelbare Grenzen.|FA: Der Webshop muss einen Warenkorb haben. NFA: Die Seite muss in unter 2 Sekunden laden. Randbedingung: Die Daten müssen auf deutschen Servern liegen (DSGVO).|FA = Was (Funktion), NFA = Wie (Qualität), Randbedingung = Grenze (Regel)|FA definieren das fachliche Verhalten ("Was"), NFA die Qualität/Güte ("Wie") und Randbedingungen schränken den Lösungsraum ein.|FA sind Hardware-Teile, NFA sind Software-Lizenzen und Randbedingungen sind die reinen Projektkosten.|FA definieren die rechtlichen Gesetze, NFA die fachliche Logik und Randbedingungen die Hardware.|Alle drei Begriffe sind Synonyme für die Programmierung von Benutzeroberflächen.|FA NFA Randbedingungen Klassifizierung Funktion Qualität
Bachelor Professional IT|Anforderungen (Qualitätsstandards nach ISO)|Welche Rolle spielen die Standards ISO 9126 bzw. ihr Nachfolger ISO 25010 (SQuaRE) und welche zentralen Qualitätsmerkmale definieren sie?|Standardisierung von NFA|Software Quality Model|Die Standards <b>ISO 9126</b> und der Nachfolger <b>ISO 25010 (SQuaRE)</b> standardisieren die Qualitätskriterien (NFA) von Software.<br>Zentrale Merkmale sind:<br>- <b>Zuverlässigkeit:</b> Erhalt des Leistungsniveaus.<br>- <b>Benutzbarkeit:</b> Aufwand zur Nutzung (Erlernbarkeit).<br>- <b>Effizienz:</b> Leistung vs. Ressourceneinsatz.<br>- <b>Änderbarkeit:</b> Aufwand für Modifikationen.<br>- <b>Übertragbarkeit:</b> Eignung für Umgebungswechsel.|Ohne Standards wie SQuaRE (Systems and software Quality Requirements and Evaluation) wären NFAs oft schwammig ("System muss schnell sein"). Die ISO zwingt Analysten, Qualität messbar zu machen. Die Änderbarkeit (Maintainability) ist z.B. extrem wichtig für die Total Cost of Ownership (TCO), da 70% der Softwarekosten in der Wartung nach dem Go-Live entstehen.|Ein Entwickler muss die Software portieren (Übertragbarkeit). Die ISO liefert die Checkliste, ob das System modular genug gebaut ist, um von Windows auf Linux zu wechseln, ohne den Code neu zu schreiben.|ZBEÄÜ (Zuverlässig, Benutzbar, Effizient, Änderbar, Übertragbar) nach ISO|Sie standardisieren die NFA-Kategorien durch Merkmale wie Zuverlässigkeit, Benutzbarkeit, Effizienz, Änderbarkeit und Übertragbarkeit.|Sie regeln ausschließlich die Entsorgung von IT-Hardware nach DSGVO.|Sie verbieten das Erfassen von nicht-funktionalen Anforderungen.|Sie sind veraltete Methoden zur agilen Softwareentwicklung ohne Bezug zur Qualität.|ISO_9126 ISO_25010 SQuaRE Qualitätsmerkmale NFA Effizienz Benutzbarkeit Zuverlässigkeit
